,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
4473,33,16201,Оператор электронных автоматов по изготовлению форм высокой печати,4 - 6
4474,34,16203,Оператор электронных гравировальных автоматов по изготовлению форм глубокой печати,5 - 6
4475,34.1,,Оператор электронного набора и верстки,5 - 7
4476,34.2,,Оператор электронного цветоделения,5 - 8
4477,35,16342,Отделывальщик клише,3 - 4
4478,36,16377,Отливщик,3 - 6
4479,37,16486,Переводчик форм глубокой печати,4 - 5
4480,38,16823,Полировщик формных цилиндров глубокой печати,3
4481,39,17310,Пробист высокой печати,2 - 5
4482,40,17312,Пробист плоской печати,2 - 6
4483,41,18065,Ретушер,2 - 7
4484,42,18863,Стереотипер,"2, 4 - 6"
4485,43,19186,Травильщик клише,"2, 4 - 6"
4486,44,19201,Травильщик форм глубокой печати,4 - 6
4487,45,19222,Трафаретчик,3 - 5
4488,46,19459,Фотограф,3 - 7
4489,47,19477,Фотоцинкограф,5 - 6
4490,48,19515,Хромолитограф,5 - 6
4491,49,19649,Шлифовщик литоофсетных форм,3
4492,50,11278,Бронзировщик,1 - 3
4493,51,14889,Накладчик на печатных машинах,1 - 3
4494,51.1,,Оператор цифровой печати,7
4495,52,16544,Печатник брайлевской печати,3 - 4
4496,53,16546,Печатник высокой печати,2 - 8
4497,54,16548,Печатник глубокой печати,2 - 8
4498,55,16550,Печатник диаграммной продукции,3 - 5
4499,56,16554,Печатник металлографской печати,4 - 8
4500,57,16560,Печатник орловской печати,3 - 8
4501,58,16562,Печатник печатно-высекального автомата,2 - 5
4502,59,16564,Печатник плоской печати,2 - 8
4503,60,16566,Печатник по жести,3 - 6
4504,61,16572,Печатник трафаретной печати,2 - 4
4505,62,16573,Печатник флексографской печати,3 - 6
4506,63,16577,Печатник эстампа,4 - 6
4507,64,11284,Брошюровщик,1 - 4
4508,65,13517,Машинист автомата для завертывания книг в суперобложку,3
4509,66,13519,Машинист автомата по изготовлению обрезных обложек,3
4510,67,13521,Машинист автоматической линии по изготовлению книг,3 - 6
4511,68,13525,Машинист автоматической линии по изготовлению тетрадей для нот и альбомов для рисования,3 - 6
4512,69,13536,Машинист агрегата бесшвейного скрепления,4 - 6
4513,70,13552,Машинист алфавитной машины,2
4514,71,13571,Машинист блокообрабатывающего агрегата,"3, 5"
4515,72,13629,Машинист вкладочно-швейно-резального агрегата,3 - 5
4516,73,13642,Машинист вырубально-упаковочного агрегата,3 - 5
4517,74,13745,Машинист каландра,2 - 3
4518,75,13763,Машинист книговставочной машины,2 - 4
4519,76,13779,Машинист конвертной машины,3 - 5
4520,77,13806,Машинист крытвенной машины,3
4521,78,13807,Машинист крышкоделательной машины,3 - 6
4522,79,13809,Машинист лакировально-гуммировальной машины,2 - 5
4523,80,13825,Машинист линовальной машины,3
4524,81,13851,Машинист машины для вкладки книг в футляры,"2, 4"
4525,82,13903,Машинист на припрессовке пленки,2 - 4
4526,83,13933,Машинист оклеечно-каптальной машины,3 - 4
4527,84,14006,Машинист подборочно-швейной машины,3 - 5
4528,85,14059,Машинист приклеенной машины,2 - 5
4529,86,14133,Машинист резальных машин,2 - 5
4530,87,14255,Машинист тетрадных агрегатов,2 - 5
